,Newspaper,Decade,Number of faces,Present face,Number of Pages,Pages with Faces (%)
0,GDL,1790,3,3,20,15.0
1,GDL,1800,10,9,36,25.0
2,GDL,1810,2,2,26,7.6923076923076925
3,GDL,1820,1,1,32,3.125
4,GDL,1830,2,2,36,5.555555555555555
5,GDL,1840,0,0,24,0.0
6,GDL,1850,2,2,24,8.333333333333332
7,GDL,1860,1,1,24,4.166666666666666
8,GDL,1870,1,1,24,4.166666666666666
9,GDL,1880,1,1,24,4.166666666666666
10,GDL,1890,1,1,26,3.8461538461538463
11,GDL,1900,4,4,28,14.285714285714285
12,GDL,1910,4,4,30,13.333333333333334
13,GDL,1920,8,6,28,21.428571428571427
14,GDL,1930,8,6,28,21.428571428571427
15,GDL,1940,10,8,38,21.052631578947366
16,GDL,1950,8,8,48,16.666666666666664
17,GDL,1960,25,19,90,21.11111111111111
18,GDL,1970,14,11,78,14.102564102564102
19,GDL,1980,60,44,136,32.35294117647059
20,GDL,1990,115,74,208,35.57692307692308
21,IMP,1880,1,1,34,2.941176470588235
22,IMP,1890,17,12,52,23.076923076923077
23,IMP,1900,25,17,68,25.0
24,IMP,1910,27,17,52,32.69230769230769
25,IMP,1920,46,29,64,45.3125
26,IMP,1930,31,19,54,35.18518518518518
27,IMP,1940,24,16,56,28.57142857142857
28,IMP,1950,105,47,94,50.0
29,IMP,1960,175,60,144,41.66666666666667
30,IMP,1970,202,82,200,41.0
31,IMP,1980,343,106,210,50.476190476190474
32,IMP,1990,218,97,202,48.01980198019802
33,IMP,2000,657,153,216,70.83333333333334
34,IMP,2010,699,146,188,77.6595744680851
35,JDG,1820,0,0,26,0.0
36,JDG,1830,1,1,54,1.8518518518518516
37,JDG,1840,1,1,50,2.0
38,JDG,1850,2,2,48,4.166666666666666
39,JDG,1860,4,3,48,6.25
40,JDG,1870,5,2,46,4.3478260869565215
41,JDG,1880,6,5,50,10.0
42,JDG,1890,1,1,52,1.9230769230769231
43,JDG,1900,11,9,54,16.666666666666664
44,JDG,1910,6,4,50,8.0
45,JDG,1920,21,11,110,10.0
46,JDG,1930,32,20,104,19.230769230769234
47,JDG,1940,13,10,92,10.869565217391305
48,JDG,1950,49,29,116,25.0
49,JDG,1960,44,31,166,18.67469879518072
50,JDG,1970,48,41,186,22.043010752688172
51,JDG,1980,144,107,306,34.967320261437905
52,JDG,1990,190,123,424,29.009433962264154
53,in,0,0,0,1,0.0
